file,alpha,seed,energy,BB_mean_deg,BB_min_deg,BB_max_deg,BL_p50_deg,BL_mean_deg,LL_p50_deg,LL_mean_deg
MAP_N6_NB2_NL4_a1p05_s1_results_global.json,1.05,1,14.412256785246875,89.052274565556,89.052274565556,89.052274565556,89.72367082310848,112.02389504002474,90.495454901094,105.24890317349507
MAP_N6_NB2_NL4_a1p05_s2_results_global.json,1.05,2,14.412255936985304,89.05865151635393,89.05865151635393,89.05865151635393,89.86731358922205,112.01526574318848,90.50530761692818,105.25387666341793
MAP_N6_NB2_NL4_a1p05_s3_results_global.json,1.05,3,14.412259439051706,89.29197052926317,89.29197052926317,89.29197052926317,89.85119767786088,112.06284082487386,90.55560486567575,105.21160816503219
MAP_N6_NB2_NL4_a1p05_s4_results_global.json,1.05,4,14.41226065780117,89.11082990439252,89.11082990439252,89.11082990439252,89.72027635260643,112.02625335105827,90.4507294756368,105.25042520206038
MAP_N6_NB2_NL4_a1p05_s5_results_global.json,1.05,5,14.412251473104506,89.22357990921604,89.22357990921604,89.22357990921604,89.73738520871555,112.03618774415366,90.5538768194501,105.23251310782639
MAP_N6_NB2_NL4_a1p15_s1_results_global.json,1.15,1,16.309663169465416,87.50826852941042,87.50826852941042,87.50826852941042,89.33192191429693,111.19833770519374,91.34415640823507,105.66028648897388
MAP_N6_NB2_NL4_a1p15_s2_results_global.json,1.15,2,16.309653603268263,87.37357336495435,87.37357336495435,87.37357336495435,89.45254676781086,111.26811957639136,91.26315473190985,105.629317705708
MAP_N6_NB2_NL4_a1p15_s3_results_global.json,1.15,3,16.30969468013589,87.67200240060423,87.67200240060423,87.67200240060423,89.46514445903571,111.25155991197713,91.3029440868814,105.63430563879682
MAP_N6_NB2_NL4_a1p15_s4_results_global.json,1.15,4,16.309660984092076,87.54708055471214,87.54708055471214,87.54708055471214,89.50614256158082,111.29798802660022,91.29634951146014,105.60302531541653
MAP_N6_NB2_NL4_a1p15_s5_results_global.json,1.15,5,16.309667771466906,87.53534645691656,87.53534645691656,87.53534645691656,89.3553364702935,111.236832212998,91.32048477368329,105.64005876483189
MAP_N6_NB2_NL4_a1p1_s1_results_global.json,1.1,1,15.348795751672125,88.5336664981227,88.5336664981227,88.5336664981227,89.5898005466972,111.69678017755697,90.92819582954183,105.40838468846566
MAP_N6_NB2_NL4_a1p1_s2_results_global.json,1.1,2,15.348798032656997,88.48912975534786,88.48912975534786,88.48912975534786,89.63122202439513,111.6889567057131,90.94600232770208,105.40754889390855
MAP_N6_NB2_NL4_a1p1_s3_results_global.json,1.1,3,15.348840630422172,88.17057424501375,88.17057424501375,88.17057424501375,89.62723239718062,111.60898489661093,91.03203728146782,105.46121946113233
MAP_N6_NB2_NL4_a1p1_s4_results_global.json,1.1,4,15.348777897022378,88.41206642934961,88.41206642934961,88.41206642934961,89.62594969576925,111.66617759720734,90.83984068535577,105.42747409399583
MAP_N6_NB2_NL4_a1p1_s5_results_global.json,1.1,5,15.348806793322593,88.45874152016088,88.45874152016088,88.45874152016088,89.55469800612087,111.68147891293698,90.8334619183349,105.42546785233264
MAP_N6_NB2_NL4_a1p25_s1_results_global.json,1.25,1,18.303972198687575,86.22232560466205,86.22232560466205,86.22232560466205,88.98170670618468,110.58993514992497,92.00057809260241,105.93738998790627
MAP_N6_NB2_NL4_a1p25_s2_results_global.json,1.25,2,18.303985432974837,86.31112911434847,86.31112911434847,86.31112911434847,89.00335435124282,110.52726851679142,92.00612099457064,105.96899703178478
MAP_N6_NB2_NL4_a1p25_s3_results_global.json,1.25,3,18.303995555344613,86.43108263989559,86.43108263989559,86.43108263989559,88.90010046087887,110.50918411706184,92.02316969284732,105.98736544140719
MAP_N6_NB2_NL4_a1p25_s4_results_global.json,1.25,4,18.303979959388524,86.44802332620235,86.44802332620235,86.44802332620235,88.96372040996326,110.54262507265793,92.02526853138016,105.96205088691312
